Date,Open,High,Low,Close,Volume
08/11/2022,"170.06","170.99","168.19","168.49","57,149,160"
08/10/2022,"167.68","169.34","166.90","169.24","70,170,547"
08/09/2022,"164.02","165.82","163.25","164.92","63,135,500"
08/08/2022,"166.37","167.81","164.20","164.87","60,362,340"
08/05/2022,"163.21","165.85","163.00","165.35","56,696,992"
08/04/2022,"166.01","167.19","164.43","165.81","55,474,141"
08/03/2022,"160.84","166.59","160.75","166.13","82,507,484"
08/02/2022,"160.10","162.41","159.63","160.01","59,907,031"
08/01/2022,"161.01","163.59","160.89","161.51","67,829,375"
07/29/2022,"161.24","163.63","159.50","162.51","101,786,898"
07/28/2022,"156.98","157.64","154.41","157.35","81,378,727"
07/27/2022,"152.58","157.33","152.16","156.79","78,620,688"
07/26/2022,"152.27","153.09","150.80","151.60","55,138,688"
07/25/2022,"154.01","155.04","152.28","152.95","53,623,953"
07/22/2022,"155.39","156.28","153.41","154.09","66,675,406"
07/21/2022,"154.50","155.57","151.94","155.35","65,086,641"
07/20/2022,"151.12","153.72","150.37","153.04","64,823,406"
07/19/2022,"147.92","151.23","146.91","151.00","82,982,367"
07/18/2022,"150.74","151.57","146.70","147.07","81,420,875"
07/15/2022,"149.78","150.86","148.20","150.17","76,259,930"
07/14/2022,"144.08","148.95","143.25","148.47","78,140,734"
07/13/2022,"142.99","146.45","142.12","145.49","71,185,562"
07/12/2022,"145.76","148.45","145.05","145.86","77,588,758"
07/11/2022,"145.67","146.64","143.78","144.87","63,305,113"
07/08/2022,"145.27","147.55","145.00","147.04","64,547,801"
07/07/2022,"143.29","146.55","143.28","146.35","66,253,711"
07/06/2022,"141.36","144.12","141.08","142.92","74,064,250"
07/05/2022,"137.77","141.61","136.93","141.56","73,429,641"
07/01/2022,"136.04","139.04","135.66","138.93","71,051,555"
06/30/2022,"137.25","138.37","133.77","136.72","98,964,469"
06/29/2022,"137.46","140.67","136.67","139.23","66,242,406"
06/28/2022,"142.13","143.42","137.33","137.44","67,315,328"
06/27/2022,"142.70","143.49","140.97","141.66","70,207,914"
06/24/2022,"139.90","141.91","139.77","141.66","89,116,844"
06/23/2022,"136.82","138.59","135.63","138.27","72,433,766"
06/22/2022,"134.79","137.76","133.91","135.35","73,409,234"
